What does kapole mean?,What does crudle mean?,What does grepping mean?,What does pona mean?,What does bucty mean?,What does tatering mean?,What does polinies mean?,What does klose mean?,What does mepping mean?,What does rebt mean?,Score,Did you see a picture of a dog on your vocab list during the 5 minute study session?
1,1,1,0,1,0,0,1,1,0,6,No
0,0,0,0,1,0,0,1,1,0,3,No
1,0,0,0,1,1,0,1,0,0,4,No
1,1,1,0,1,0,0,1,1,0,6,No
1,1,1,0,1,0,0,1,1,0,6,No
1,1,1,0,1,0,0,1,1,0,6,No
1,1,1,0,1,0,0,1,1,0,6,No
0,1,1,0,1,0,0,0,1,0,4,No
0,0,0,1,0,1,1,0,0,1,4,No
1,0,1,0,1,0,0,1,1,0,5,No
1,0,1,1,1,0,0,1,1,0,6,No
0,0,0,1,0,1,1,1,0,1,5,No
0,0,0,1,0,1,1,1,0,1,5,No
0,0,1,0,1,0,0,1,1,0,4,No
1,1,1,0,1,0,0,1,1,0,6,Yes
1,1,1,1,1,0,0,1,0,0,6,Yes
0,1,0,1,0,1,1,0,1,1,6,Yes
1,1,1,1,1,0,1,0,1,0,7,Yes
1,1,1,0,1,0,0,1,1,0,6,Yes
1,1,0,0,1,0,0,1,0,0,4,Yes
0,0,0,1,0,1,1,0,0,1,4,Yes
1,1,0,0,1,0,0,1,1,0,5,Yes
1,1,1,1,0,1,0,1,0,0,6,Yes
0,1,1,0,1,0,0,1,1,1,6,Yes
0,1,1,1,0,0,1,0,0,1,5,Yes
1,1,1,0,1,0,0,1,1,0,6,Yes
1,1,1,0,1,0,1,1,1,0,7,Yes
1,1,1,0,1,0,0,1,1,0,6,Yes
