What does kapole mean?,What does crudle mean?,What does grepping mean?,What does pona mean?,What does bucty mean?,What does tatering mean?,What does polinies mean?,What does klose mean?,What does mepping mean?,What does rebt mean?,Did you see a picture of a dog on your vocab list during the 5 minute study session?
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,No
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,Yes
Shoe,Apple,Crying,Apple,Tree,Running,Book,Cute,Running,Angry,Yes
Apple,Shoe,Climbing,Telephone,Tree,Running,Book,Cute,Climbing,Angry,No
Crying,Apple,Shoe,Cute,Telephone,Crying,Tree,Angry,Climbing,Apple,Yes
Shoe,Angry,Climbing,Telephone,Tree,Cute,Book,Cute,Running,Angry,Yes
Shoe,Apple,Crying,Cute,Tree,Running,Telephone,Climbing,Climbing,Angry,Yes
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,Yes
Shoe,Apple,Climbing,Telephone,Tree,Running,Book,Cute,Crying,Angry,Yes
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,No
Cute,Book,Shoe,Crying,Climbing,Cute,Telephone,Book,Crying,Telephone,Yes
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,No
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,No
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,No
Cute,Apple,Crying,Telephone,Tree,Running,Book,Shoe,Climbing,Angry,No
Shoe,Apple,Climbing,Telephone,Tree,Running,Book,Cute,Climbing,Angry,Yes
Shoe,Apple,Crying,Angry,Cute,Climbing,Book,Cute,Running,Angry,Yes
Angry,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Shoe,Yes
Apple,Cute,Angry,Shoe,Crying,Climbing,Telephone,Shoe,Tree,Tree,No
Shoe,Crying,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,No
Apple,Apple,Crying,Shoe,Running,Running,Telephone,Telephone,Shoe,Telephone,Yes
Shoe,Telephone,Crying,Apple,Tree,Running,Book,Cute,Climbing,Angry,No
Climbing,Crying,Running,Running,Book,Climbing,Tree,Cute,Angry,Cute,No
Climbing,Crying,Running,Running,Book,Climbing,Tree,Cute,Angry,Cute,No
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,Yes
Apple,Shoe,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,No
Shoe,Apple,Crying,Telephone,Tree,Running,Tree,Cute,Climbing,Angry,Yes
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,Yes
Climbing,Apple,Crying,Telephone,Tree,Running,Book,Cute,Crying,Angry,No
Shoe,Apple,Crying,Telephone,Tree,Running,Book,Cute,Climbing,Angry,Yes
